cacophonous||[kæ`kɑfənəs, kə-; kæˋkɒfənəs]|||ca.coph.o.nous<br>[kæ`kɑfənəs, kə-; kæˋkɒfənəs]<br>形容词<br>声音不和谐的; 刺耳的 <br> 想 卡壳的声音 不和谐的 <br> n. cacophony
irascible|[sound:5a62d550a31b4ba7e897efda91ed8994.mp3]|/ɪˈræsəbl/|<img src="01fba19f209e0b298517376af9393265.jpg"></img>|"STOP USING MY COMPUTER!!!" shouted our <b>irascible</b> boss.|adj. 易怒的，性情暴躁的 <br> erase -> ras 产生磨擦的 <br> 能跟人产生磨擦的人
crabbed|[sound:b10a0540e7f10b9d6f85eaabbbb5cfed.mp3]|[kræb; kræb]|||crab<br>[kræb; kræb]<br>名词<br>1 (C)‘动物’蟹<br>(螃蟹类的甲壳类总称; 包括寄居蟹 (hermit crab) , (king crab) )<br>2 (U) (食用的) 蟹肉<br>3 (又作 crab louse) (C)‘昆虫’毛虱<br>(附著于阴毛等)<br>4 [the C~]‘天文’巨蟹座,巨蟹宫 (Cancer)<br>catch a crab<br>(划船时插桨过深或过浅) 用桨不当,失一桨<br>不及物动词<br>(crabbed; crab.bing)<br>捉蟹<br>go crabbing<br>去捉蟹<br>▫ crab.bed<br>[`kræbId; ˋkræbid]<br>《源自蟹 (crab) 的走法》<br>形容词<br>1 乖戾的; 脾气暴躁的<br>2 a. 晦涩的,难懂的<br>a ~ style<br>晦涩的文体<br>b. (过密而) 难辨认的<br>副词<br>~.ly<br>名词<br>~.ness <br> crab 螃蟹 <br>螃蟹脾气不好
waspish||[-pIʃ; -piʃ]|||wasp.ish<br>[-pIʃ; -piʃ]<br>《wasp 的形容词》<br>形容词<br>1 似黄蜂的<br>2 容易生气的,心肠不好的; 脾气暴躁的<br>3 = wasp-waisted <br> wasp 黄蜂 <br> 黄蜂脾气不好的
bilious|[sound:983818ac1c51d2da683c2223bc4b1180.mp3]|/ˈbɪliəs/|<img src="67f09967ccb613d6b9475c43574a822d.jpg"></img>|My digestion's upset, so I'm feeling grumpy and <b>bilious</b>.|adj. 多胆汁的，坏脾气的 <br> bile 胆 <br> 肝胆相照 脾气不好的
liverish|[sound:ac9c6598073c07e7d3567d08329639e0.mp3]|[-vərIʃ; -vəriʃ]|||liv.er.ish<br>[-vərIʃ; -vəriʃ]<br>形容词<br>(口语)<br>1 肝脏不好的,患肝病的<br>2 乖戾的; 脾气坏的,暴躁的 <br> liver 肝 <br> 肝火旺的
canvas|[sound:0799e25acfe251a3d7753129d320db17.mp3]|/ˈkænvəs/|<img src="9ba4b1c5f4a0dec90b774921624ad47b.jpg"></img>|Why is this <b>canvas</b> blank--start painting!|n. 帆布，（帆布）油画
canvass|[sound:a153e991eacdfc965d797408a51230d9.mp3]|/ˈkænvəs/|<img src="037752f70833a3cf37e97e27fc766deb.jpg"></img>|His job was to <b>canvass</b> voters and record how they thought they would vote.|v. 仔细检查或详尽地讨论；审查，游说；  n. 讨论；细查；劝诱 <br> canvas 帆布 <br> 用帆布过滤，细筛
captious|[sound:d304ca64bb278104b287e8172fb99d75.mp3]|/'kæpʃəs/|<img src="e7c3a727e65293d4f98739914b4bf832.jpg"></img>|My <b>captious</b> boss always talked about all of my small mistakes.|adj. 挑剔的，吹毛求疵的 <br> cap 1. head 2. to catch <br> -ous = full adj. <br> 充满了抓
cape|[sound:550822b0159eee4e23fb164ef55e4b11.mp3]|/keɪp/|<img src="daada27e3cabca7d07b9acf7781f5fc8.jpg"></img>|The monkey's <b>cape</b> looks so cool.|n. 海角，岬；斗篷，披肩<br> cap 1. head 2. to catch 
caption|[sound:eb3d4190a2eec6700453674459057350.mp3]|/ˈkæpʃn/|<img src="da468024f05d99492f2ca279a441d5a8.jpg"></img>|The <b>caption</b> described the photo.|n. （报刊的）标题，（插图、照片等的）说明文字，（电影）字幕<br> cap 1. head 2. to catch 
precipice|[sound:eec8d8618dc7ad756d8e83e35a2b3c1f.mp3]|/ˈpresəpɪs/|<img src="b38122e8ca02fdc563f88286c0a5e103.jpg"></img>|Be careful at the <b>precipice</b>--you might fall off.|n. 悬崖；危险的处境, 灾难的边缘, 濒危点<br> cip <- cap 1. head 2. to catch  <br> precipitous 险峻的
captivate|[sound:c6a747722377fc154a7714a9b49b096e.mp3]|/ˈkæptɪveɪt/|<img src="d27df8208c9d926103dc9d5472c292b6.jpg"></img>|We were <b>captivate</b>d by the story-book my playmate had brought.|v. 吸引，迷惑<br> cap 1. head 2. to catch 
capitulate|[sound:79fef17005896709963109e1a618ddff.mp3]|/kəˈpɪtʃuleɪt/|<img src="30f13af15f329f63aa40c60be1acdf9e.jpg"></img>|With his gun at my head, I had no choice but to <b>capitulate</b>.|v. （有条件地）投降<br> cap 1. head 2. to catch  <br> it 走
carp|[sound:caff1e40515779acece345accdd132d5.mp3]|/kɑːrp/|<img src="8f07efe5b115b31242c47929581737fe.jpg"></img>|Share the <b>carp</b> image on Weibo and you might have some good luck.|n. 鲤鱼；  v. 吹毛求疵<br> cap 1. head 2. to catch 
cavil|[sound:2cb9f4a255afa4721cc4fa65bcc4f57f.mp3]|/ˈkævl/|<img src="4b08a7e40cf296e62b5859b0463b745d.jpg"></img>|The husband and wife <b>cavil</b> about who should wash the dishes.|v. 吹毛求疵，挑剔，无端指摘；  n. 吹毛求疵，苛责，无端的指责<br> cap 1. head 2. to catch 
finicky|[sound:5428aaf0cf9c28c0ac98245b7e3d0e98.mp3]|/ˈfɪnɪki/|<img src="74b6fc91cb38797f6e76028f3fb596df.jpg"></img>|My daughter is so <b>finicky</b> about her food! She never eats my cooking.|adj. 苛求的，过份讲究的 <br> fine -> fini <br> 过于精细的
fastidious|[sound:86fe79feea23dcae24f311c6601bd4dc.mp3]|/fæ'stɪdiəs/|<img src="0d05f0370e6a294dce39e13a3103d64b.jpg"></img>|Cats are very <b>fastidious</b> cleaners.|adj. 难讨好的，爱挑剔的 <br> fast v. 斋戒 <br> breakfast 打破昨天的斋戒，吃早餐 <br> 想 斋戒的人什么都不吃，难讨好的
cardinal|[sound:069499963db2409db4a8215eedfe3282.mp3]|/ˈkɑːrdɪnl/|<img src="1c02f24b31bd2e528eb27d50909678d1.jpg"></img>|The <b>cardinal</b> directions are north, south, east, and west.|adj. 主要的，基本的；  n. 深红色；基数 <br> card/cord <- heart <br> cord -> core
cordial|[sound:91c070597251f6e45f1c0c82361c15cb.mp3]|/'kɔrdʒəl/|<img src="070a25d04167ba36e7b71b53245bc281.jpg"></img>|His friends gave him quite the <b>cordial</b> welcoming.|a. 热情友好的,热诚的<br> card/cord <- heart 
cardiac|[sound:e533175b07b96c5a7fed158c865d990a.mp3]|/ˈkɑːrdiæk/|<img src="61e270e61b33933b9b5ce51c46e380c5.jpg"></img>|After his heart attack, the man had to go to the doctor often to check for <b>cardiac</b> problems.|adj. 心脏的，心脏病的<br> card/cord <- heart  <br> -ac adj.
cardiologist||[ˌkɑrdI`ɑlədʒIst; ˌkɑdiˋɒlədʒst]|||car.di.ol.o.gist<br>[ˌkɑrdI`ɑlədʒIst; ˌkɑdiˋɒlədʒst]<br>名词<br>心脏病专家<br> card/cord <- heart <br> -ologist 专家
concord|[sound:0a174ca0cf31029eb6d45dbe5b8bf0c1.mp3]|/'kɑŋkɔrd/|<img src="b737c28bc68a541f7f2d23724661d88c.jpg"></img>|This view usually appears in the fairy tales,but now all is <b>concord</b> on the street.|n. 和谐, 一致, 和睦<br> card/cord <- heart <br> con- 一起
discord|[sound:1e4e220951305c521cb71b44e4e30d42.mp3]|/ˈdɪskɔːrd/|<img src="8cd1184f539219f3aa74830a8ec9d2a4.jpg"></img>|Fights can result in lasting <b>discord</b> between people.|n. 不和，争吵；（声音）不和谐<br> card/cord <- heart <br> dis- away
carnage|[sound:4342759e3a527f0ceb63301f9922c848.mp3]|/ˈkɑːrnɪdʒ/|<img src="b241278bbda79d7a22e8165388d21c9d.jpg"></img>|The brutal battle resulted in terrible <b>carnage</b>.|n. 大屠杀，残杀，大量绝灭 <br> carn = flesh 肉 <br> -age 结果
carnal|[sound:77672e13125057f812b20730f28368f8.mp3]|/ˈkɑːrnl/|<img src="2d78bf20025fa7b31ce5ee184c0e52c6.jpg"></img>|Looks like his <b>carnal</b> thoughts are not removed yet.|adj. 肉体的，肉欲的，性欲的，色欲的，淫荡的<br> carn = flesh 肉 
carcass|[sound:1104396918a4ba16581b6a599999e09a.mp3]|/ˈkɑːrkəs/|<img src="00e3639555fe9ff769acc24475fc0206.jpg"></img>|The scientists found a <b>carcass</b> of an ancient fish.|n. （动物、人）尸体；（屠宰后）兽体；（废屋，废船等的）骨架，遗骸<br> carn = flesh 肉 <br> ass 驴
reincarnate||[ˌriIn`kɑrnєt; ri:ˋinkɑ:nєit, ˌri:inˋkɑ:n-]|||re.in.car.nate<br>[ˌriIn`kɑrnєt; ri:ˋinkɑ:nєit, ˌri:inˋkɑ:n-]<br>及物动词<br>1 赋予 新的肉体<br>2 使 化身<br>She was ~d as a snake.<br>她化身为一条蛇<br>[9riIn`kBrnIt; 9ri:in5kB:nit]<br>形容词<br>(古.文语)获得新肉体的; 化身的<br> carn = flesh 肉 <br> re- 再 <br> in
slay|[sound:10247d8f2cd6df7e5a94d7193902581b.mp3]|/sleɪ/|<img src="1f08baacc36f2a5fb9fdce6d0ce94f0e.jpg"></img>|Here is where the killer would <b>slay</b> all his victims with a gun.|v. 残杀，（大规模）屠杀，使禁不住大笑
slaughter|[sound:bc4db38543c793797c3f56f8e4070e3b.mp3]|/ˈslɔːtər/|<img src="798d015c7a18ed96e377a5966e8d6fa8.jpg"></img>|The butcher <b>slaughter</b>s animals for us to eat.|n. 屠宰，屠杀；  v. 屠杀，屠宰 <br> 想 laughter 笑死
massacre|[sound:ea95793edc7f5f7b4459f0b32a21eb87.mp3]|/ˈmæsəkər/|<img src="23b1357540ce3a125fdcbf212f9d708d.jpg"></img>|Skulls of the people killed in the <b>massacre</b> were collected.|n. 大屠杀，残杀；惨败；  vt. 屠杀；彻底击败 <br> mass 大量 <br> acre 英亩 土地 <br>大量死在土地上
assassinate|[sound:cf5e2e9d2238136401ee293997c96622.mp3]|/əˈsæsəneɪt/|<img src="f6e2c90a27ddb8d913ffe31b3f247f10.jpg"></img>|The guy with the rocket launcher always tries to <b>assassinate</b> his boss.|vt. 行刺，暗杀 <br> 想 两个屁股再一起，背后两刀
execute|[sound:ec879ab162aa349399dc3d793fd714ad.mp3]|/ˈeksəˌkjut/|<img src="4ad861ef673340e0c88ef42bb344220e.jpg"></img>|They <b>execute</b> him by using a parachute. |vt. 将…处死 <br> 想 cut 砍 <br> exe 向外
lynch|[sound:a8dae3c76b71cc8e46225ddb0f14a579.mp3]|/lɪntʃ/|<img src="5f28787f9c09f019e1f88c59f74fd203.jpg"></img>|Instead of calling the police, the angry villagers decided to <b>lynch</b> the thief.|v. 私刑处死 <br> 想 凌迟
holocaust|[sound:41f9c421a2f258f42f35c0570f0975b1.mp3]|/ˈhɑːləkɔːst/|<img src="8f9110e33b8c1c522bc00f975f86e005.jpg"></img>|Millions and millions of innocent people were killed in the <b>Holocaust</b>.|n. 大屠杀，浩劫 <br> holo = whole <br> caust = burn <br> 想 烤死他
disaster|[sound:42f8b40a112e317dc5c8c911e899d635.mp3]|/dɪˈzæstər/|<img src="bac9a3201cb810dfff5db210b95a6a7a.jpg"></img>|The whole city is destroyed. It’s a real <b>disaster</b>.|n. 灾难，天灾 <br> aster <- star
cataclysm|[sound:ad412c28cdd80467e1434f7abcadbddf.mp3]|/'kætəklɪzəm/|<img src="1220bb6c59e29476a39fa1b5c230900d.jpg"></img>|Who caused the Great <b>Cataclysm</b>?|n. 灾难,激变,天翻地覆的变化；骤变 <br> cata 1. down 2. fully <br> lys = release <br> 完全释放能量
catastrophe|[sound:45f2118fcd5eeabccdb45d04b0c460f5.mp3]|/kəˈtæstrəfi/|<img src="9c931c0df22727bf0d7e99ab1b3b1b4c.jpg"></img>|We lost our house in the <b>catastrophe</b>.|n. 大灾难 <br> cata 1. down 2. fully <br> astr <- star <br> 星星下落
catalogue|[sound:fefb9b3cd1d2a2d783cb231a90394f4e.mp3]|/ˈkætəlɔːɡ/|<img src="c36120fa946ea84e87376b491202ff38.jpg"></img>|The girl got information about the clothes from the <b>catalogue</b>.|n. 目录<br> cata 1. down 2. fully <br> log 说
calamity|[sound:24eaeaea7e21c9917476f06ca3b6dd26.mp3]|/kə'læməti/|<img src="f45d5feb26b9f2722de386c56e38c268.jpg"></img>|His drunk driving was the reason for this great <b>calamity</b>.|n. 灾难, 不幸事件 <br> c alam ity 想 城市中间响起警报
censor|[sound:850f072388cd61191375c276b65721e9.mp3]|/ˈsensər/|<img src="7c3f1e8125f711b82176f42d7144efa2.jpg"></img>|That organisation <b>censor</b>s all movies.You know...                                            |n. 检查员;  vt. 审查, 检查；修改
censorious|[sound:ee99a783048a89b40e5a946a72159d99.mp3]|/senˈsɔːriəs/|<img src="b43bca9a8f0d57eb7b80755a18a5ee48.jpg"></img>|My boss is really <b>censorious</b>; he consistently criticizes his employees.|adj. 爱挑剔的，吹毛求疵的，严厉批评的 <br> censor 审查
censorship|[sound:f2ff15c9dca675f867a4ca2285602dfd.mp3]|/ˈsensərˌʃɪp/|<img src="526a0e6b67881050ddb211f170c6c025.jpg"></img>|A part of this image became blurred because of <b>censorship</b> guidelines. |n. 审查制度；审查机构<br> censor 审查
censure|[sound:d3368b5f013d1a6df15edea3cab4d708.mp3]|/ˈsenʃər/|<img src="c70bbd0b9bdf0ba072496865d8c4eb8d.jpg"></img>|I was formally <b>censure</b>d by my boss for sleeping with his secretary.|v. 责难，责备；  n. 责难，责备<br> censor 审查
census|[sound:6b4e18206c09ede88897fbcadfebdf1e.mp3]|/ˈsensəs/|<img src="6da99173a3868853b9af75f90c49d6af.jpg"></img>|The government is taking a <b>census</b>. May I ask: how many people live here?|n. 人口调查，人口普查<br> censor 审查
consensus|[sound:e8d46231de503d6c9f1e5924069f0f7c.mp3]|/kənˈsensəs/|<img src="c73559f9d6e815e65fdefc2b5c7b2c4b.jpg"></img>|We reached a <b>consensus</b> in the end.|n. 一致同意，合意<br> censor 审查
cession||[`sZʃən; ˋsєʃn]|||ces.sion<br>[`sZʃən; ˋsєʃn]<br>《cede 的名词》<br>名词<br>1 (领土的) 割让, (权利的) 让渡, (财产等的) 让与<br>2 (C)割让的领土 <br> cess/cede/ceed  = to go <br> access
succeed|[sound:41d350be84d35dd2dc6e0953cf5886ce.mp3]|/səkˈsiːd/|<img src="496ec34b249ecf7ce43a6f1fa2611c46.jpg"></img>|I <b>succeed</b>ed in shooting three arrows in the center of the target.|vi. 成功；继承；接着发生;  vt. 继承；继…之后<br> cess/cede/ceed  = to go <br> su + 双写字母 <- sub 
cede|[sound:d35a0a5881e4cde437b7b32a1c58c2d4.mp3]|/siːd/|<img src="ff5a29426a9e3edcafdf386b5cc5c6f1.jpg"></img>|The troops <b>cede</b> to overwhelming force.|v. 放弃；割让（领土）<br> cess/cede/ceed  = to go 
recede|[sound:976d1c6c7c020b067e5533caa036b058.mp3]|/rɪˈsiːd/|<img src="25b95b42ca48d2c5c6b1b94c6a64e834.jpg"></img>|The ocean comes in and <b>recede</b>s every day because of the tides.|v. 退去，渐渐远去；变得渺茫；变得模糊，变得淡漠；向后倾斜<br> cess/cede/ceed  = to go 
concede|[sound:31f67e0fec30effefb9194ee9bae92fc.mp3]|/kənˈsid/|<img src="45690c120617f17b59299ba3bb86601f.jpg"></img>|He finally <b>concede</b>d defeat in the tennis competition.  |vi. 让步;  vt. 承认；容许, 让步<br> cess/cede/ceed  = to go 
accede|[sound:503913e6c29ccb228c4ffe6877fc62e4.mp3]|/əkˈsiːd/|<img src="5e8c076a393da5e50c2854cfef39872c.jpg"></img>|The little tiger <b>accede</b>d to the throne and will be our new king.|v. 同意，加入<br> cess/cede/ceed  = to go 
precede|[sound:f3ff2f01145b09e7e67dc0891ba121b8.mp3]|/prɪˈsiːd/|<img src="0c1628d81cb503032efd20626f9fd8cb.jpg"></img>|Dinner was <b>precede</b>d by a short prayer.|v. 发生在……之前，先于<br> cess/cede/ceed  = to go 
intercede|[sound:ac68dddc3024fd5ddc72988e532ad144.mp3]|[ˌIntL`sid; ˌintəˋsi:d]|||in.ter.cede<br>[ˌIntL`sid; ˌintəˋsi:d]<br>《源自拉丁文“走中间”的意思》<br>不及物动词<br>[向某人][为某人]调停,说项[with][for]<br>~ with a person for his son<br>为其儿子向某人说情<br> cess/cede/ceed  = to go <br>inter- 在中间
secede|[sound:17c4411080b5eba498ed774a4d0bd73f.mp3]|[si`sid, sI-; siˋsi:d]|||se.cede<br>[si`sid, sI-; siˋsi:d]<br>不及物动词<br>(文语) [从政党、教会等] 脱离,退出[from]<br>~ from a political party<br>脱离某政党<br> cess/cede/ceed  = to go <br> se- apart
antecede|[sound:6d7c0b04afc998896d98ac9de7d683ec.mp3]|/ˌæntɪ'siːd/|<img src="ed6425a0e6f1abb192a482b29ec285d1.jpg"></img>|The past <b>antecede</b>s the present.|v. 胜过，居前<br> cess/cede/ceed  = to go  <br>ante- before <br> post- back
chastise|[sound:19dcd69737447234c8da05bf3ee12af0.mp3]|/tʃæˈstaɪz/|<img src="175b3359b530b9a686e33e98367cd888.jpg"></img>|The gold man <b>chastise</b>s his friend.|v. 严厉惩罚，遣责 <br> 想 插死他<br> chast/cast = pure <br> 使变得纯净
chasten||[`tʃєsn; ˋtʃєisn]|||chas.ten<br>[`tʃєsn; ˋtʃєisn]<br>《源自 chaste 的动词》<br>及物动词<br>1 a. (为矫正行为而) 惩罚<br>b. (给予折磨) 锻炼 [磨炼]<br>2 a. 抑制 ; 缓和<br>b. 使 精练,使…简洁; 推敲 [洗练,琢磨]<br> 想 插死他 <br> chast/cast = pure
chaste|[sound:28f4a0c3507f3b8bd36afa62e5f88211.mp3]|/tʃeɪst/|<img src="6aba23f985611eebc0365712fb4edc96.jpg"></img>|Catholic nuns must be <b>chaste</b>; they can never marry.|adj. 贞洁的；纯洁的；朴素的<br> chast/cast = pure
caste|[sound:80009f5bdcf5a98fb5080f8769a47b36.mp3]|/kæst/|<img src="24a335a7dedb87837319a9409300cbf0.jpg"></img>|A <b>caste</b> system existed in ancient China.|n. （印度社会中的）种姓；（具有严格等级差别的）社会地位；（排他的）社会团体<br> chast/cast = pure<br> 纯种 阶级 <br>想 卡死他在阶级中
castigate|[sound:df204a0f96e6d4f8e77f198ede059a3f.mp3]|/ˈkæstɪɡeɪt/|<img src="3aaac749bf6fa51ffb26bc336ec591b6.jpg"></img>|My dad's kind of mean - he always <b>castigate</b>s me if I disagree with him.|v. 严惩；苛评；矫正；修订<br> chast/cast = pure <br> ag -> ig 行动 <br> 想 cast gate 把我扔到门口惩罚
cast|[sound:0c814f1ec825c3a3ae7c6eb9d144c1f5.mp3]|/kæst/|<img src="1d178fd477f456732070f433a9acd66b.jpg"></img>|The fisherman <b>cast</b> his line out, hoping the fish would take notice.|n. 投掷物；铸件；演员表、演员阵容;  vi. 放钓；投；掷vt. 投, 掷
overcast|[sound:c36bcca04cf8ce7fc123fb8eb212a0b8.mp3]|/ˌoʊvərˈkæst/|<img src="c6e39cf45037a1e9b4f520d05c4f840c.jpg"></img>|The sky is gray and <b>overcast</b>.|adj. 阴天的；愁闷的；  v. 使沮丧；遮蔽<br> chast/cast = 1.pure 2. throw <br>抬头看天一片阴霾
downcast|[sound:8c8d11f63a22a12ba6158bf27dd7a557.mp3]|/ˈdaʊnkæst/|<img src="9ee519ea20879261a39d48589c18b6a1.jpg"></img>|He was <b>downcast</b> when he learned that he would not be getting the job.|adj. 意志消沉的，垂头丧气的，朝下的<br> chast/cast = 1.pure 2. throw <br>低头沮丧
outcast|[sound:648a23d6ffa653516555fb8f54eba997.mp3]|/ˈaʊtkæst/|<img src="c95a62845ea0a02fd1f58c81d04c188a.jpg"></img>|The red man is an <b>outcast</b>; nobody wants to talk to him.|n. 被逐出者；流浪者；  adj. 被抛弃的，被逐出的<br> chast/cast = 1.pure 2. throw
chauvinism|[sound:dce93680245bac7725cee3c8bdb6c894.mp3]|/ˈʃoʊvɪnɪzəm/|<img src="f8c24cfda3c84059921af1c140ed41ba.jpg"></img>|She felt the pressure of the male <b>chauvinism</b> of her male coworkers.|n. 沙文主义者，盲目爱国主义 <br> male chauvinism 大男子主义 <br> jingoism 金戈主义（英国人说的沙文主义）
jingoism|[sound:9fa66911d24f0c099ef1266c7bccf03c.mp3]|[-goˌIzəm; -^ouizəm]|||jin.go.ism<br>[-goˌIzəm; -^ouizəm]<br>不可数名词<br>侵略主义,沙文主义, (感情用事的) 爱国主义, (盲目的) 主战论
chivalrous|[sound:0a71ec7224e4a670b7f0c1f1e150e7a5.mp3]|/ˈʃɪvəlrəs/|<img src="f7e5973b2293bf9918104481c6f811cc.jpg"></img>|The <b>chivalrous</b> hero Perseus rescued Andromeda from the monster.|adj. 像骑士的，侠义的，大侠的<br> val = strong <br>chivalry n. <br>想 保持chi强壮的
cavalier|[sound:ede238050dea9fca84ba86806539498e.mp3]|/ˌkævəˈlɪr/|<img src="a4621c0f52e2c8c48fd26514d259ebaf.jpg"></img>|A medieval <b>cavalier</b> needed a strong horse to bear the weight of his armor.|n. 骑士，武士<br> val = strong 
valiant|[sound:efc44d22db453b6c122bce2c0a80437e.mp3]|/ˈvæliənt/|<img src="95d7634ca53e9c0f061bdf480ab1a214.jpg"></img>|The <b>valiant</b> knight rushed forth to greet the enemy.|n. 勇士，勇敢的人；  adj. 勇敢的，英勇的<br> val = strong 
valorous||[`vælərəs; ˋvælərəs]|||val.or.ous<br>[`vælərəs; ˋvælərəs]<br>《valor 的形容词》<br>形容词<br>(文语)英勇的,勇敢的<br>副词<br>~.ly<br>名词<br>~.ness<br> val = strong
convalesce|[sound:680066583a68007f6cc6ffb8552cfa0f.mp3]|/ˌkɑːnvəˈles/|<img src="72f7f24d40e4ba91beee385dd821a602.jpg"></img>|My son can <b>convalesce</b> at home until he's well enough for school again.|v. 渐愈，渐渐康复<br> val = strong <br>-esce 逐渐
invalid|[sound:54eb06ead7c919387733a8e9416a9a72.mp3]|/ɪn'vælɪd/|<img src="6993fce16a00ab7fdb136b8e6f8aba81.jpg"></img>|We agree that "2+2=5" is <b>invalid</b>.|n. 病人，残疾人；  adj. 有病的；无效的；作废的<br> val = strong 
knight|[sound:42bf2a6d92f86596939415122e988016.mp3]|/naɪt/|<img src="f6ef33345e19d2a2d03edc69c7ff4506.jpg"></img>|There are many <b>knight</b>s standing in a line, holding their swords.|n. 骑士 <br>knightly adj. <br>想 夜晚出没的人
choreography|[sound:e4a1646b1559b5c9ae26877412eef6cc.mp3]| [ˌkɔriˈɑɡrəfi]|<img src="fb5a3a2784bf499939072d697031b48b.jpg"></img>|We all learned the <b>choreography</b> so we could dance together.|n. 舞蹈;  编舞术 ;  <br> chore = sing/dance <br> graph = writer <br> choreographer 舞蹈家
choir|[sound:7dd8fffe083c89c6342ce3a3406c4154.mp3]|/ˈkwaɪr/|<img src="497d02316fdfd58c37c7a359cc01d922.jpg"></img>|He was in a <b>choir</b>, singing with others.|n. (教会的)歌唱队，唱诗班
chorus|[sound:46c159158e851bcdac46b56fb8d7ce40.mp3]|/ˈkɔːrəs/|<img src="1ee6b3f13114547428e7c75adbfa3405.jpg"></img>|What a wonderful performance by the <b>chorus</b>!|n. 合唱团，合唱，合唱曲；  v. 齐声说
